id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Мода;Частота;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;Тест Граббса;p_value
0;2;6203;814;166;414.759;3.374;6.382;4.914;1.541;1.468;-0.073;4.919;4.861;4.801;3.374;1;4004.446;3.008;4.293;5.572;0.568;-0.028;-1.077;0.754;0.153;0.026;0.0;1.0
0;2;6196;814;164;397.939;3.342;5.992;4.747;1.405;1.245;-0.161;4.681;4.629;4.577;3.905;2;3809.941;2.65;4.137;5.245;0.465;-0.16;-1.076;0.682;0.146;0.024;0.0;1.0
0;0;6194;814;160;424.044;3.792;6.935;5.291;1.499;1.644;0.145;5.295;5.242;5.188;3.993;2;4310.005;3.143;4.707;5.882;0.558;0.047;-0.969;0.747;0.141;0.026;0.0;1.0
0;0;6194;814;153;405.242;3.865;7.084;5.514;1.649;1.57;-0.079;5.501;5.441;5.381;4.751;2;4477.869;3.219;4.814;6.196;0.647;0.007;-1.152;0.804;0.146;0.028;0.0;1.0
0;0;6178;814;155;411.303;3.382;6.361;4.747;1.365;1.614;0.248;4.774;4.717;4.66;4.928;2;3886.278;2.979;4.191;5.396;0.542;0.065;-1.092;0.736;0.154;0.026;0.0;1.0
0;4;6160;814;176;402.199;3.046;7.687;4.172;1.126;3.515;2.389;4.165;4.119;4.075;3.971;2;3389.937;4.641;3.633;4.636;0.384;0.508;0.946;0.62;0.149;0.022;0.0;1.0
0;2;6157;814;164;399.646;3.32;6.122;4.631;1.312;1.491;0.179;4.635;4.584;4.532;3.32;1;3773.203;2.803;4.032;5.232;0.472;0.028;-1.146;0.687;0.148;0.024;0.0;1.0
0;4;6151;814;157;414.936;3.687;6.912;5.137;1.45;1.775;0.324;5.123;5.06;4.996;3.687;1;4170.35;3.225;4.445;5.777;0.646;0.062;-1.121;0.804;0.157;0.028;0.0;1.0
0;4;6145;814;154;416.747;3.341;6.688;4.917;1.575;1.771;0.196;4.929;4.861;4.793;4.895;2;4011.844;3.347;4.238;5.604;0.653;0.001;-1.119;0.808;0.164;0.028;0.0;1.0
0;0;6139;814;176;404.0;3.389;6.152;4.742;1.353;1.41;0.057;4.741;4.69;4.64;3.961;2;3858.854;2.763;4.154;5.368;0.469;0.005;-1.16;0.685;0.144;0.024;0.0;1.0
0;0;6132;814;160;411.338;3.005;5.717;4.325;1.32;1.392;0.072;4.379;4.321;4.263;3.93;2;3564.164;2.712;3.796;5.003;0.496;0.011;-1.189;0.704;0.161;0.025;0.0;1.0
0;2;6129;814;166;395.205;3.359;6.477;4.846;1.487;1.631;0.145;4.827;4.762;4.697;4.641;2;3929.519;3.118;4.133;5.488;0.618;0.007;-1.129;0.786;0.163;0.028;0.0;1.0
1;0;6128;814;170;408.429;3.296;5.994;4.584;1.288;1.41;0.122;4.581;4.528;4.475;3.365;2;3728.76;2.698;4.012;5.217;0.471;-0.062;-1.15;0.686;0.15;0.024;0.0;1.0
0;4;6117;814;149;411.638;3.09;5.907;4.404;1.314;1.503;0.189;4.357;4.303;4.248;4.279;2;3546.628;2.817;3.744;4.923;0.466;-0.015;-1.157;0.683;0.157;0.024;0.0;1.0
1;0;6114;814;167;393.036;3.165;5.788;4.507;1.342;1.282;-0.06;4.452;4.409;4.364;3.954;2;3624.298;2.624;3.903;4.936;0.382;-0.07;-1.082;0.618;0.139;0.022;0.0;1.0
0;2;6109;814;164;409.604;3.611;6.628;5.225;1.614;1.402;-0.212;5.151;5.094;5.036;5.469;2;4192.769;3.017;4.499;5.772;0.572;-0.087;-1.129;0.757;0.147;0.027;0.0;1.0
0;4;6106;814;175;387.354;3.267;6.321;4.743;1.477;1.577;0.101;4.771;4.71;4.648;3.659;2;3883.981;3.054;4.117;5.401;0.58;0.025;-1.133;0.761;0.16;0.027;0.0;1.0
0;0;6104;814;171;407.602;3.128;5.787;4.423;1.295;1.364;0.07;4.387;4.337;4.287;3.128;1;3571.271;2.659;3.779;4.909;0.434;0.069;-1.14;0.659;0.15;0.023;0.0;1.0
0;2;6098;814;171;410.17;3.66;6.537;5.046;1.386;1.491;0.105;5.062;5.001;4.939;4.979;2;4120.527;2.877;4.393;5.751;0.613;0.017;-1.194;0.783;0.155;0.027;0.0;1.0
0;2;6098;814;167;414.072;3.414;6.392;4.855;1.44;1.538;0.097;4.84;4.778;4.715;4.378;2;3939.497;2.978;4.17;5.517;0.588;-0.028;-1.243;0.767;0.158;0.027;0.0;1.0
0;2;6090;814;159;398.063;3.329;6.246;4.735;1.406;1.511;0.106;4.721;4.663;4.605;3.329;1;3843.241;2.917;4.076;5.363;0.543;0.025;-1.203;0.737;0.156;0.026;0.0;1.0
0;2;6086;814;152;407.586;3.556;6.284;4.854;1.298;1.43;0.133;4.859;4.801;4.743;4.927;2;3954.905;2.728;4.215;5.502;0.556;0.057;-1.219;0.745;0.153;0.026;0.0;1.0
0;2;6085;814;162;401.765;3.699;6.584;5.1;1.402;1.483;0.082;5.109;5.052;4.995;3.699;1;4158.575;2.885;4.462;5.713;0.572;0.032;-1.101;0.757;0.148;0.027;0.0;1.0
0;2;6085;814;159;408.73;3.222;5.899;4.432;1.211;1.466;0.255;4.435;4.384;4.333;3.948;2;3610.302;2.677;3.837;4.981;0.452;0.095;-1.147;0.672;0.152;0.024;0.0;1.0
0;2;6074;814;160;411.412;3.42;6.804;4.92;1.5;1.884;0.385;4.941;4.881;4.821;4.133;2;4022.225;3.384;4.308;5.596;0.587;0.047;-1.051;0.766;0.155;0.027;0.0;1.0
0;4;6072;814;158;405.658;2.716;5.008;3.913;1.197;1.095;-0.102;3.885;3.837;3.788;4.932;2;3162.408;2.292;3.337;4.412;0.368;-0.046;-1.264;0.607;0.156;0.021;0.0;1.0
0;4;6070;814;166;410.018;3.22;6.205;4.682;1.462;1.523;0.061;4.665;4.613;4.56;3.892;2;3797.713;2.986;4.083;5.238;0.48;-0.03;-1.09;0.693;0.148;0.024;0.0;1.0
0;0;6069;814;187;396.38;3.336;6.057;4.688;1.352;1.37;0.017;4.7;4.651;4.601;3.921;2;3825.985;2.722;4.137;5.272;0.463;0.061;-1.147;0.68;0.145;0.024;0.0;1.0
1;4;6064;814;159;401.453;3.865;7.39;5.495;1.631;1.895;0.264;5.504;5.431;5.357;5.995;2;4480.653;3.526;4.68;6.282;0.797;0.032;-1.2;0.893;0.162;0.031;0.0;1.0
0;2;6052;814;168;400.083;3.554;6.459;5.06;1.506;1.399;-0.107;5.031;4.977;4.923;4.459;2;4095.416;2.905;4.425;5.67;0.529;-0.073;-1.175;0.728;0.145;0.026;0.0;1.0
0;4;6051;814;169;399.592;3.518;6.471;4.982;1.464;1.489;0.025;4.983;4.93;4.875;4.526;2;4056.467;2.953;4.388;5.601;0.521;-0.086;-1.079;0.722;0.145;0.025;0.0;1.0
