id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
1;4;5168;1665;338;833.701;3.067;17.021;4.551;1.484;12.471;10.633;4.783;4.629;4.511;7964.002;13.954;3.929;5.269;2.143;3.557;19.013;1.464;0.306;0.036
2;2;6016;1665;315;832.876;2.555;23.029;3.879;1.324;19.15;6.466;4.501;4.129;3.912;7494.286;20.474;3.262;4.505;6.348;3.549;14.542;2.519;0.56;0.062
1;2;6190;1665;370;845.778;2.396;40.584;3.678;1.282;36.907;3.358;5.045;4.147;3.767;8399.194;38.189;3.042;4.215;22.192;3.513;13.431;4.711;0.934;0.115
2;4;5944;1665;322;837.193;2.561;18.926;3.791;1.23;15.135;7.517;4.142;3.978;3.858;6896.378;16.365;3.336;4.508;2.04;3.511;18.585;1.428;0.345;0.035
2;2;3742;1665;304;832.234;2.334;22.642;3.894;1.561;18.748;7.685;4.298;3.976;3.77;7155.851;20.308;3.092;4.397;4.809;3.481;15.651;2.193;0.51;0.054
2;4;4276;1665;360;856.792;2.358;16.174;3.943;1.585;12.231;11.472;4.146;3.928;3.773;6902.989;13.816;3.167;4.42;2.879;3.468;15.826;1.697;0.409;0.042
2;4;5758;1665;344;830.826;2.808;17.936;4.205;1.398;13.731;9.238;4.461;4.324;4.218;7427.099;15.128;3.65;4.948;1.716;3.443;19.707;1.31;0.294;0.032
1;4;5397;1665;366;809.38;3.226;17.605;4.772;1.547;12.832;10.758;4.987;4.841;4.726;8303.079;14.379;4.12;5.532;2.047;3.4;17.968;1.431;0.287;0.035
2;2;5747;1665;307;830.661;2.662;16.688;4.111;1.448;12.577;10.325;4.36;4.208;4.089;7259.914;14.025;3.522;4.831;1.881;3.357;18.656;1.371;0.315;0.034
2;4;4391;1665;340;844.197;2.684;21.272;4.304;1.62;16.968;8.716;4.854;4.497;4.266;8081.38;18.588;3.522;5.044;5.931;3.316;13.502;2.435;0.502;0.06
